SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Evelynn,Shen,Kassadin,Camille,Ashe,Lux,Warwick,Kaisa,Malphite,Cassiopeia,0
Kindred,Kennen,Nautilus,Jhin,Qiyana,Leblanc,Heimerdinger,Senna,Samira,Udyr,0
Evelynn,Jhin,Sett,Darius,Zed,Samira,Leona,Elise,Kaisa,Maokai,1
Fizz,Thresh,Jhin,Twitch,Illaoi,Singed,Kassadin,Kaisa,Nidalee,Karma,1
Kassadin,Yone,Vayne,Twitch,Swain,Kaisa,Ekko,Rengar,Aatrox,Soraka,1
Zyra,Samira,Khazix,Riven,Akali,Udyr,Samira,Rakan,Tryndamere,Lux,1
Neeko,Yone,Talon,Karthus,Samira,Akali,Samira,Vladimir,RekSai,Kennen,1
Janna,Lux,Zac,Ezreal,Jax,Lucian,Taliyah,Kaisa,Irelia,Bard,0
Janna,Elise,Zed,Twitch,Kayle,Rakan,Lucian,Xayah,Amumu,Akali,1
Orianna,Shen,Nunu,Yasuo,Nautilus,Mordekaiser,Swain,Zac,Yone,Sivir,0
Twitch,Zed,Camille,Swain,Evelynn,Sylas,Blitzcrank,Aphelios,Ivern,Akali,0
Twitch,Gragas,Yone,Nami,Vayne,Lissandra,Rengar,Chogath,Varus,Lulu,1
Twitch,Nidalee,Talon,Morgana,Gangplank,Elise,Zed,Ezreal,Yuumi,Urgot,0
Neeko,Yone,Yasuo,Samira,Olaf,Irelia,MissFortune,Samira,Yasuo,Katarina,1
Vayne,Cassiopeia,JarvanIV,Fizz,Lulu,Neeko,Kayn,Jax,Xayah,Leona,0
Malzahar,Ornn,Ekko,Tristana,Nami,Vayne,Jax,Kayn,Lulu,Yone,1
Varus,Yasuo,Evelynn,Rakan,Kayle,Samira,Akali,Gnar,Ivern,Senna,0
Cassiopeia,Thresh,Tristana,Skarner,Riven,Viktor,Fiora,Evelynn,Senna,Nami,1
