SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Lillia,Nami,Ezreal,Yasuo,Garen,Sylas,Graves,Blitzcrank,Draven,Urgot,0
Hecarim,Ezreal,Karma,TwistedFate,Nasus,Sett,Jax,Caitlyn,Zed,Sona,0
Nunu,Samira,Riven,Malphite,Lucian,Aatrox,Xerath,Kayn,Nami,Swain,0
Nunu,Lux,Fiora,Cassiopeia,Velkoz,Zed,Evelynn,Kayle,Lucian,Nautilus,0
Nunu,Soraka,Yasuo,Lucian,Cassiopeia,Volibear,Evelynn,Pantheon,Caitlyn,Malphite,1
Sett,Annie,Hecarim,Kaisa,Jax,LeeSin,Vladimir,Jhin,Yasuo,Lulu,0
Nunu,Vladimir,Yuumi,Samira,Fiora,Blitzcrank,Swain,Yasuo,Camille,MasterYi,0
Nunu,Ezreal,Lux,Yasuo,Nasus,Leona,Karthus,Vi,Samira,Singed,1
Elise,Kalista,Hecarim,Kayle,Galio,Lucian,Orianna,Sylas,Janna,Khazix,0
Nidalee,Malphite,Caitlyn,Yuumi,Cassiopeia,Ekko,Leona,Ezreal,Shen,Tryndamere,1
Kindred,Yuumi,Vayne,Kaisa,Orianna,Riven,Vi,Annie,Samira,Blitzcrank,0
Nidalee,Hecarim,Mordekaiser,Yasuo,Swain,Shen,Lucian,Pantheon,Talon,Sylas,0
Nidalee,Zac,Ashe,Morgana,Cassiopeia,Nautilus,Hecarim,Urgot,Pantheon,Vayne,1
Nidalee,Jhin,Velkoz,Zed,Renekton,Kayn,Illaoi,Fizz,Samira,Nautilus,0
Nidalee,Draven,Janna,Hecarim,Yone,DrMundo,Kayle,Lulu,KogMaw,Yasuo,0
Nidalee,Illaoi,Yuumi,Zed,Lucian,Vladimir,Ekko,Twitch,Janna,Khazix,0
Nidalee,Brand,Vladimir,Ashe,AurelionSol,Shaco,Akali,Caitlyn,Darius,Nautilus,0
Nidalee,Orianna,Vayne,Lulu,Sylas,Nami,Zed,Ashe,Ekko,Lillia,0
Nidalee,Sett,Samira,Orianna,Morgana,Janna,Evelynn,Sion,Jhin,Galio,0
Nidalee,Irelia,Teemo,Yuumi,Samira,Yone,Jinx,Swain,Kayle,Hecarim,0
