SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Ekko,TwistedFate,Soraka,Fiddlesticks,Thresh,Malzahar,Jinx,Malphite,Mordekaiser,Fiora,1
Jinx,Yone,Shen,Thresh,Warwick,Akali,Lucian,Janna,Tryndamere,Jax,0
Xayah,Sett,JarvanIV,Veigar,Sona,Garen,Ezreal,Yasuo,Lillia,Jax,1
Jinx,Brand,Lillia,Quinn,Zyra,Pyke,Zac,Azir,Gragas,Aphelios,1
Jinx,Darius,Lillia,Thresh,Yasuo,Blitzcrank,Nunu,Ezreal,Renekton,Orianna,0
Xayah,Syndra,Kennen,LeeSin,Thresh,Lucian,Yasuo,Kayn,Ahri,Orianna,1
Jinx,Yasuo,Brand,Fizz,Khazix,Leblanc,Fiora,Tristana,Fiddlesticks,Blitzcrank,0
Ziggs,Sona,Lucian,Singed,Khazix,Xayah,Sylas,Elise,Yasuo,Rakan,1
MissFortune,Graves,Rengar,Akali,Morgana,Nami,Katarina,Warwick,Zed,Draven,1
Xayah,Kayn,Blitzcrank,TwistedFate,Rumble,Talon,Kaisa,Nami,Nautilus,Urgot,1
Ekko,Yone,Veigar,TwistedFate,Amumu,Amumu,LeeSin,Singed,Samira,Yasuo,1
Jinx,Zed,Graves,Lucian,Shaco,LeeSin,Xerath,MissFortune,Syndra,Vayne,1
Kayn,Samira,LeeSin,Zed,RekSai,Vayne,Kassadin,Lux,LeeSin,RekSai,0
Caitlyn,Lux,Yone,Nidalee,Vayne,Fiddlesticks,Samira,Caitlyn,Nidalee,Pantheon,1
Lucian,Yasuo,Graves,Sona,Fiora,Yasuo,Lucian,Khazix,Tristana,Sona,1
Vayne,Nami,Taliyah,Garen,Pyke,Lucian,Rengar,Orianna,Tryndamere,Kennen,1
Ezreal,Sona,Yasuo,Zed,Rumble,Yasuo,Brand,Darius,MissFortune,Taliyah,1
Tristana,Morgana,Zilean,Trundle,Darius,MissFortune,Ezreal,Lux,Zed,MasterYi,1
Lucian,Darius,Leona,Zed,LeeSin,Vi,Brand,Lux,Yone,Caitlyn,1
Vayne,MissFortune,Veigar,Nami,Ahri,Akali,Senna,Ekko,Zed,Vladimir,1
Evelynn,Shen,Kassadin,Camille,Ashe,Lux,Warwick,Kaisa,Malphite,Cassiopeia,0
Kindred,Kennen,Nautilus,Jhin,Qiyana,Leblanc,Heimerdinger,Senna,Samira,Udyr,0
Evelynn,Jhin,Sett,Darius,Zed,Samira,Leona,Elise,Kaisa,Maokai,1
Fizz,Thresh,Jhin,Twitch,Illaoi,Singed,Kassadin,Kaisa,Nidalee,Karma,1
Kassadin,Yone,Vayne,Twitch,Swain,Kaisa,Ekko,Rengar,Aatrox,Soraka,1
Zyra,Samira,Khazix,Riven,Akali,Udyr,Samira,Rakan,Tryndamere,Lux,1
Neeko,Yone,Talon,Karthus,Samira,Akali,Samira,Vladimir,RekSai,Kennen,1
Janna,Lux,Zac,Ezreal,Jax,Lucian,Taliyah,Kaisa,Irelia,Bard,0
Janna,Elise,Zed,Twitch,Kayle,Rakan,Lucian,Xayah,Amumu,Akali,1
Orianna,Shen,Nunu,Yasuo,Nautilus,Mordekaiser,Swain,Zac,Yone,Sivir,0
Twitch,Zed,Camille,Swain,Evelynn,Sylas,Blitzcrank,Aphelios,Ivern,Akali,0
Twitch,Gragas,Yone,Nami,Vayne,Lissandra,Rengar,Chogath,Varus,Lulu,1
Twitch,Nidalee,Talon,Morgana,Gangplank,Elise,Zed,Ezreal,Yuumi,Urgot,0
Neeko,Yone,Yasuo,Samira,Olaf,Irelia,MissFortune,Samira,Yasuo,Katarina,1
Vayne,Cassiopeia,JarvanIV,Fizz,Lulu,Neeko,Kayn,Jax,Xayah,Leona,0
Malzahar,Ornn,Ekko,Tristana,Nami,Vayne,Jax,Kayn,Lulu,Yone,1
Varus,Yasuo,Evelynn,Rakan,Kayle,Samira,Akali,Gnar,Ivern,Senna,0
Cassiopeia,Thresh,Tristana,Skarner,Riven,Viktor,Fiora,Evelynn,Senna,Nami,1
Twitch,Kassadin,Lulu,Irelia,Vi,Swain,Jhin,Graves,Samira,Akali,0
KogMaw,Lulu,Talon,Darius,Kayn,Annie,Caitlyn,Hecarim,Morgana,Camille,0
Taliyah,Talon,Singed,Thresh,Aphelios,Jhin,Nautilus,Yasuo,Nidalee,Ornn,1
Zed,MissFortune,Morgana,Aatrox,Zac,Ezreal,Swain,Fiora,Orianna,Sion,1
Katarina,Syndra,Twitch,Kled,LeeSin,Viktor,Volibear,Mordekaiser,Leona,Jhin,1
Evelynn,Morgana,Irelia,Darius,Caitlyn,Lulu,Khazix,Ezreal,Zed,Velkoz,0
Evelynn,Kaisa,Malphite,Soraka,Yone,Thresh,Ashe,Fiora,Graves,Ekko,1
Twitch,Kayle,Evelynn,Camille,Nautilus,Darius,Sylas,Kaisa,Akali,Janna,0
Kassadin,JarvanIV,Nautilus,Neeko,Sivir,Alistar,Ziggs,Hecarim,Lucian,Jax,0
Camille,TahmKench,Draven,Galio,Khazix,Ekko,Yasuo,Rengar,Malphite,LeeSin,1
Orianna,Khazix,Sona,Yone,Syndra,Akali,Draven,Yone,Khazix,Thresh,1
Janna,Sylas,Darius,JarvanIV,Ashe,Elise,Yuumi,Fiora,Yone,Karthus,0
Evelynn,Kayle,Zed,Ezreal,Sylas,Elise,Nocturne,Yasuo,Morgana,Ziggs,0
Evelynn,Zoe,Lulu,Senna,Quinn,Blitzcrank,Katarina,Rengar,Caitlyn,MonkeyKing,1
Gragas,Yone,Camille,Veigar,Galio,Hecarim,Lucian,Katarina,MonkeyKing,Nami,1
Evelynn,Katarina,Illaoi,Vayne,Lulu,Lucian,Zilean,Ziggs,Jax,DrMundo,1
Evelynn,Blitzcrank,Draven,Jax,Akali,Hecarim,Renekton,Rakan,Vayne,Velkoz,0
Evelynn,Gragas,Riven,Jhin,Yone,Lulu,Hecarim,Kassadin,Lucian,Gnar,1
Evelynn,Caitlyn,Nautilus,Lux,Aatrox,Senna,Vladimir,Ezreal,Kayn,Irelia,1
Evelynn,Illaoi,Sivir,Janna,Lucian,Twitch,Karma,Khazix,Malphite,Akali,1
Evelynn,Sylas,Sion,Zyra,Ashe,Zed,Rammus,Draven,Janna,Vladimir,1
Evelynn,Darius,Ashe,Senna,Lissandra,Sion,Ekko,Yone,Lulu,Ezreal,1
Twitch,Yone,Garen,Lulu,Shyvana,Ezreal,Janna,Warwick,Ahri,Fiora,0
Twitch,Yasuo,Khazix,Morgana,Galio,Aatrox,Lucian,Sett,Senna,Velkoz,0
Twitch,Zac,Katarina,Volibear,Anivia,Fiora,Olaf,Lucian,Orianna,Thresh,1
