SpecifiedPlayer,Ally1,Ally2,Ally3,Ally4,Enemy1,Enemy2,Enemy3,Enemy4,Enemy5,Outcome
Jinx,Yasuo,Brand,Fizz,Khazix,Leblanc,Fiora,Tristana,Fiddlesticks,Blitzcrank,0
Ziggs,Sona,Lucian,Singed,Khazix,Xayah,Sylas,Elise,Yasuo,Rakan,1
MissFortune,Graves,Rengar,Akali,Morgana,Nami,Katarina,Warwick,Zed,Draven,1
Xayah,Kayn,Blitzcrank,TwistedFate,Rumble,Talon,Kaisa,Nami,Nautilus,Urgot,1
Ekko,Yone,Veigar,TwistedFate,Amumu,Amumu,LeeSin,Singed,Samira,Yasuo,1
Jinx,Zed,Graves,Lucian,Shaco,LeeSin,Xerath,MissFortune,Syndra,Vayne,1
Kayn,Samira,LeeSin,Zed,RekSai,Vayne,Kassadin,Lux,LeeSin,RekSai,0
Caitlyn,Lux,Yone,Nidalee,Vayne,Fiddlesticks,Samira,Caitlyn,Nidalee,Pantheon,1
Lucian,Yasuo,Graves,Sona,Fiora,Yasuo,Lucian,Khazix,Tristana,Sona,1
Vayne,Nami,Taliyah,Garen,Pyke,Lucian,Rengar,Orianna,Tryndamere,Kennen,1
Ezreal,Sona,Yasuo,Zed,Rumble,Yasuo,Brand,Darius,MissFortune,Taliyah,1
Tristana,Morgana,Zilean,Trundle,Darius,MissFortune,Ezreal,Lux,Zed,MasterYi,1
Lucian,Darius,Leona,Zed,LeeSin,Vi,Brand,Lux,Yone,Caitlyn,1
Vayne,MissFortune,Veigar,Nami,Ahri,Akali,Senna,Ekko,Zed,Vladimir,1
